과목,문항,인용파일,인용줄,판정,실제/추정줄,오프셋,비고,심각도
과목1,1,화장품법(법률)(제20901호)(20260402).md,213,EXACT,213,0,,정상
과목1,2,1과목_화장품법의이해_표준형.md,1241,EXACT,1241,0,,정상
과목1,3,1과목_화장품법의이해_표준형.md,691,EXACT,691,0,,정상
과목1,4,화장품법 시행규칙(총리령)(제02109호)(20260402).md,1007,EXACT,1007,0,,정상
과목1,5,1과목_화장품법의이해_표준형.md,1853,EXACT,1853,0,,정상
과목1,6,화장품법 시행규칙(총리령)(제02109호)(20260402).md,831,EXACT,831,0,,정상
과목1,7,1과목_화장품법의이해_표준형.md,548,EXACT,548,0,,정상
과목1,8,1과목_화장품법의이해_표준형.md,549,EXACT,549,0,,정상
과목1,9,1과목_화장품법의이해_표준형.md,718,EXACT,718,0,,정상
과목1,10,1과목_화장품법의이해_표준형.md,927,EXACT,927,0,,정상
과목1,11,1과목_화장품법의이해_표준형.md,1836,EXACT,1836,0,,정상
과목1,12,1과목_화장품법의이해_표준형.md,693,EXACT,693,0,,정상
과목1,13,1과목_화장품법의이해_표준형.md,1174,EXACT,1174,0,,정상
과목1,14,1과목_화장품법의이해_표준형.md,1243,EXACT,1243,0,,정상
과목1,15,1과목_화장품법의이해_표준형.md,1242,EXACT,1242,0,,정상
과목1,16,1과목_화장품법의이해_표준형.md,1242,EXACT,1242,0,,정상
과목1,17,1과목_화장품법의이해_표준형.md,927,EXACT,927,0,,정상
과목1,18,1과목_화장품법의이해_표준형.md,466,EXACT,466,0,,정상
과목1,19,1과목_화장품법의이해_표준형.md,693,EXACT,693,0,,정상
과목1,20,1과목_화장품법의이해_표준형.md,1241,EXACT,1241,0,,정상
과목1,21,화장품법(법률)(제20901호)(20260402).md,1979,EXACT,1979,0,,정상
과목1,22,1과목_화장품법의이해_표준형.md,550,EXACT,550,0,,정상
과목1,23,1과목_화장품법의이해_표준형.md,612,EXACT,612,0,,정상
과목1,24,1과목_화장품법의이해_표준형.md,691,EXACT,691,0,,정상
과목1,25,1과목_화장품법의이해_표준형.md,961,EXACT,961,0,,정상
과목1,26,화장품법 시행규칙(총리령)(제02109호)(20260402).md,1593,EXACT,1593,0,,정상
과목1,27,1과목_화장품법의이해_표준형.md,1242,EXACT,1242,0,,정상
과목1,28,1과목_화장품법의이해_표준형.md,1243,EXACT,1243,0,,정상
과목1,29,화장품법(법률)(제20901호)(20260402).md,1579,EXACT,1579,0,,정상
과목1,30,1과목_화장품법의이해_표준형.md,795,EXACT,795,0,,정상
과목1,31,1과목_화장품법의이해_표준형.md,638,NOTFOUND_재작성,638,,원문 미발견(요약형) ,참고(요약형근거)
과목1,32,1과목_화장품법의이해_표준형.md,928,EXACT,928,0,,정상
과목1,33,1과목_화장품법의이해_표준형.md,2575,WRONGFILE_다른파일,3454,,실제: 2과목_제조및품질관리_표준형.md L3454 ,교정필요(파일오류)
과목1,34,1과목_화장품법의이해_표준형.md,1595,EXACT,1595,0,,정상
과목1,35,화장품법(법률)(제20901호)(20260402).md,35,WRONGFILE_다른파일,3447,,실제: 1과목_화장품법의이해_이야기형.md L3447 ,교정필요(파일오류)
과목1,36,1과목_화장품법의이해_표준형.md,927,EXACT,927,0,,정상
과목1,37,1과목_화장품법의이해_표준형.md,440,EXACT,440,0,,정상
과목1,38,1과목_화장품법의이해_표준형.md,928,EXACT,928,0,,정상
과목1,39,1과목_화장품법의이해_표준형.md,3981,EXACT,3981,0,,정상
과목1,40,1과목_화장품법의이해_표준형.md,732,EXACT,732,0,,정상
과목1,41,1과목_화장품법의이해_표준형.md,1853,EXACT,1853,0,,정상
과목1,42,1과목_화장품법의이해_표준형.md,550,EXACT,550,0,,정상
과목1,43,1과목_화장품법의이해_표준형.md,828,NOTFOUND_재작성,828,,원문 미발견(요약형) ,참고(요약형근거)
과목1,44,1과목_화장품법의이해_표준형.md,1252,EXACT,1252,0,,정상
과목1,45,1과목_화장품법의이해_표준형.md,549,EXACT,549,0,,정상
과목1,46,1과목_화장품법의이해_표준형.md,521,EXACT,521,0,,정상
과목1,47,1과목_화장품법의이해_표준형.md,811,NOTFOUND_재작성,811,,원문 미발견(요약형) ,참고(요약형근거)
과목1,48,1과목_화장품법의이해_표준형.md,718,EXACT,718,0,,정상
과목1,49,1과목_화장품법의이해_표준형.md,1252,EXACT,1252,0,,정상
과목1,50,1과목_화장품법의이해_표준형.md,1820,EXACT,1820,0,,정상
과목1,51,화장품법 시행규칙(총리령)(제02109호)(20260402).md,1091,EXACT,1091,0,,정상
과목1,52,화장품법(법률)(제20901호)(20260402).md,213,EXACT,213,0,,정상
과목1,53,화장품법(법률)(제20901호)(20260402).md,1921,EXACT,1921,0,,정상
과목1,54,1과목_화장품법의이해_표준형.md,753,EXACT,753,0,,정상
과목1,55,1과목_화장품법의이해_표준형.md,1865,EXACT,1865,0,,정상
과목1,56,1과목_화장품법의이해_표준형.md,1115,EXACT,1115,0,,정상
과목1,57,화장품법(법률)(제20901호)(20260402).md,1711,EXACT,1711,0,,정상
과목1,58,1과목_화장품법의이해_표준형.md,804,EXACT,804,0,,정상
과목1,59,1과목_화장품법의이해_표준형.md,520,EXACT,520,0,,정상
과목1,60,화장품법(법률)(제20901호)(20260402).md,213,EXACT,213,0,,정상
과목1,61,화장품법 시행규칙(총리령)(제02109호)(20260402).md,1673,EXACT,1673,0,,정상
과목1,62,1과목_화장품법의이해_표준형.md,612,EXACT,612,0,,정상
과목1,63,1과목_화장품법의이해_표준형.md,520,EXACT,520,0,,정상
과목1,64,1과목_화장품법의이해_표준형.md,613,EXACT,613,0,,정상
과목1,65,1과목_화장품법의이해_표준형.md,927,EXACT,927,0,,정상
과목1,66,1과목_화장품법의이해_표준형.md,549,EXACT,549,0,,정상
과목1,67,시행규칙_별표1_품질관리기준.md,101,EXACT,101,0,,정상
과목1,68,1과목_화장품법의이해_표준형.md,576,EXACT,576,0,,정상
과목1,69,화장품법(법률)(제20901호)(20260402).md,1065,EXACT,1065,0,,정상
과목1,70,1과목_화장품법의이해_표준형.md,693,EXACT,693,0,,정상
과목1,71,1과목_화장품법의이해_표준형.md,693,EXACT,693,0,,정상
과목1,72,화장품법(법률)(제20901호)(20260402).md,221,EXACT,221,0,,정상
과목1,73,화장품법(법률)(제20901호)(20260402).md,221,EXACT,221,0,,정상
과목1,74,화장품법(법률)(제20901호)(20260402).md,1981,EXACT,1981,0,,정상
과목1,75,1과목_화장품법의이해_표준형.md,576,EXACT,576,0,,정상
과목1,76,화장품법(법률)(제20901호)(20260402).md,997,EXACT,997,0,,정상
과목1,77,1과목_화장품법의이해_표준형.md,1133,EXACT,1133,0,,정상
과목1,78,1과목_화장품법의이해_표준형.md,915,EXACT,915,0,,정상
과목1,79,화장품법(법률)(제20901호)(20260402).md,1015,EXACT,1015,0,,정상
과목1,80,1과목_화장품법의이해_표준형.md,549,EXACT,549,0,,정상
과목1,81,1과목_화장품법의이해_표준형.md,547,EXACT,547,0,,정상
과목1,82,1과목_화장품법의이해_표준형.md,794,EXACT,794,0,,정상
과목1,83,1과목_화장품법의이해_표준형.md,718,EXACT,718,0,,정상
과목1,84,1과목_화장품법의이해_표준형.md,612,EXACT,612,0,,정상
과목1,85,화장품법(법률)(제20901호)(20260402).md,669,EXACT,669,0,,정상
과목1,86,1과목_화장품법의이해_표준형.md,550,EXACT,550,0,,정상
과목1,87,1과목_화장품법의이해_표준형.md,2072,NOTFOUND_재작성,2072,,원문 미발견(요약형) ,참고(요약형근거)
과목1,88,화장품법(법률)(제20901호)(20260402).md,1013,EXACT,1013,0,,정상
과목1,89,1과목_화장품법의이해_표준형.md,928,EXACT,928,0,,정상
과목1,90,1과목_화장품법의이해_표준형.md,549,EXACT,549,0,,정상
과목1,91,시행규칙_별표2_책임판매안전관리기준.md,27,EXACT,27,0,,정상
과목1,92,1과목_화장품법의이해_표준형.md,613,EXACT,613,0,,정상
과목1,93,1과목_화장품법의이해_표준형.md,718,EXACT,718,0,,정상
과목1,94,시행규칙_별표1_품질관리기준.md,101,EXACT,101,0,,정상
과목1,95,1과목_화장품법의이해_표준형.md,1630,EXACT,1630,0,,정상
과목1,96,1과목_화장품법의이해_표준형.md,1243,EXACT,1243,0,,정상
과목1,97,화장품법(법률)(제20901호)(20260402).md,871,EXACT,871,0,,정상
과목1,98,1과목_화장품법의이해_표준형.md,797,EXACT,797,0,,정상
과목1,99,1과목_화장품법의이해_표준형.md,1741,EXACT,1741,0,,정상
과목1,100,화장품법(법률)(제20901호)(20260402).md,283,WRONGLINE_같은파일,249,-34,올바른 줄=L249 ,교정필요(줄오류)
과목2,1,2과목_제조및품질관리_표준형.md,1722,EXACT,1722,0,,정상
과목2,2,2과목_제조및품질관리_표준형.md,1236,EXACT,1236,0,,정상
과목2,3,2과목_제조및품질관리_표준형.md,819,EXACT,819,0,,정상
과목2,4,2과목_제조및품질관리_표준형.md,2256,EXACT,2256,0,,정상
과목2,5,2과목_제조및품질관리_표준형.md,2508,EXACT,2508,0,,정상
