과목,문항,유형,비고
과목1,2,MISCITE_from교재,
과목1,3,MISCITE_from교재,
과목1,5,MISCITE_from교재,
과목1,9,MISCITE_from교재,
과목1,10,MISCITE_from교재,
과목1,11,MISCITE_from교재,
과목1,12,MISCITE_from교재,
과목1,14,MISCITE_from교재,
과목1,15,MISCITE_from교재,
과목1,16,MISCITE_from교재,
과목1,17,MISCITE_from교재,
과목1,18,QUOTE_NOTFOUND,
과목1,19,MISCITE_from교재,
과목1,20,MISCITE_from교재,
과목1,22,NO_CITE,
과목1,23,MISCITE_from교재,
과목1,24,MISCITE_from교재,
과목1,25,MISCITE_from교재,
과목1,27,MISCITE_from교재,
과목1,28,MISCITE_from교재,
과목1,31,QUOTE_NOTFOUND,
과목1,32,MISCITE_from교재,
과목1,33,LINE_DRIFT,
과목1,35,LINE_DRIFT,
과목1,36,MISCITE_from교재,
과목1,38,MISCITE_from교재,
과목1,40,QUOTE_NOTFOUND,
과목1,41,MISCITE_from교재,
과목1,43,QUOTE_NOTFOUND,
과목1,44,MISCITE_from교재,
과목1,45,QUOTE_NOTFOUND,
과목1,46,QUOTE_NOTFOUND,
과목1,47,NO_CITE,
과목1,48,MISCITE_from교재,
과목1,49,MISCITE_from교재,
과목1,50,MISCITE_from교재,
과목1,54,MISCITE_from교재,
과목1,56,MISCITE_from교재,
과목1,58,MISCITE_from교재,
과목1,59,QUOTE_NOTFOUND,
과목1,62,MISCITE_from교재,
과목1,63,LINE_DRIFT,
과목1,64,MISCITE_from교재,
과목1,65,MISCITE_from교재,
과목1,70,MISCITE_from교재,
과목1,71,MISCITE_from교재,
과목1,75,QUOTE_NOTFOUND,
과목1,77,MISCITE_from교재,
과목1,81,MISCITE_from교재,
과목1,83,MISCITE_from교재,
과목1,84,MISCITE_from교재,
과목1,87,QUOTE_NOTFOUND,
과목1,89,MISCITE_from교재,
과목1,92,MISCITE_from교재,
과목1,93,MISCITE_from교재,
과목1,95,MISCITE_from교재,
과목1,96,MISCITE_from교재,
과목1,100,LINE_DRIFT,
과목2,5,MISCITE_from교재,
과목2,8,MISCITE_from교재,
과목2,9,MISCITE_from교재,
과목2,12,MISCITE_from교재,
과목2,15,MISCITE_from교재,
과목2,21,MISCITE_from교재,
과목2,22,MISCITE_from교재,
과목2,23,LINE_DRIFT,
과목2,25,MISCITE_from교재,
과목2,28,MISCITE_from교재,
과목2,33,MISCITE_from교재,
과목2,37,MISCITE_from교재,
과목2,38,MISCITE_from교재,
과목2,43,MISCITE_from교재,
과목2,49,QUOTE_NOTFOUND,
과목2,51,MISCITE_from교재,
과목2,53,MISCITE_from교재,
과목2,55,MISCITE_from교재,
과목2,62,QUOTE_NOTFOUND,
과목2,63,MISCITE_from교재,
과목2,66,QUOTE_NOTFOUND,
과목2,68,MISCITE_from교재,
과목2,70,MISCITE_from교재,
과목2,73,MISCITE_from교재,
과목2,74,MISCITE_from교재,
과목2,75,MISCITE_from교재,
과목2,77,MISCITE_from교재,
과목2,78,QUOTE_NOTFOUND,
과목2,84,MISCITE_from교재,
과목2,86,LINE_DRIFT,
과목2,87,MISCITE_from교재,
과목2,93,MISCITE_from교재,
과목2,96,MISCITE_from교재,
